,title,Published_date,Views,Likes,Comments,Month
0,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,23504,753,71,Apr
1,Can You Analyze My Data Better Than I Can?,2022-01-31,5516,292,63,Jan
2,Giving Back to My Most Engaged Subscribers!,2022-01-28,2060,116,87,Jan
3,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,7845,447,61,Jan
4,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,6974,368,78,Jan
5,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,4521,122,30,Jan
6,The Only Data Science Explanation You Need,2022-01-10,19347,1171,150,Jan
7,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,12916,616,150,Jan
8,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,172471,8379,358,Dec
9,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,6176,278,56,Dec
10,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,4644,300,20,Dec
11,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,19623,986,151,Dec
12,Why Is Data Engineering So HOT Right Now?,2021-11-26,21801,918,133,Nov
13,Is Data Science Dying?,2021-11-19,83079,2731,300,Nov
14,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7032,367,110,Nov
15,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3418,194,48,Nov
16,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,7348,209,30,Oct
17,ML Ops: What is it REALLY?,2021-10-22,4568,224,61,Oct
18,Business Skills for Data Science: What are they REALLY?,2021-10-18,5720,264,50,Oct
19,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2125,124,5,Oct
20,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,4499,237,65,Oct
21,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,10981,490,111,Aug
22,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,6790,251,32,Aug
23,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,21252,750,31,Aug
24,How I Learned to Learn.,2021-07-31,31489,1720,170,Jul
25,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,7450,423,46,Jul
26,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2315,93,30,Jul
27,Why are APIs Important for Data Science?,2021-07-09,7170,368,92,Jul
28,Is Your Phone REALLY Listening to You?,2021-07-03,4725,272,118,Jul
29,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,9974,462,125,Jun
30,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3562,188,40,Jun
31,#66DaysOfData - What is it? #shorts,2021-06-11,6884,317,53,Jun
32,A Quick Data Science Project Tip! #SHORTS,2021-06-03,13244,748,87,Jun
33,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7033,376,201,May
34,How Data Science Projects Pay Off,2021-05-22,9681,567,149,May
35,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9640,457,138,May
36,What is a lambda function (python)? #shorts,2021-05-13,9047,586,47,May
37,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,15820,692,58,May
38,What is Pandas? (Data & Data Science) #shorts,2021-04-30,14426,577,93,Apr
39,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,55634,2560,271,Apr
40,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,21324,611,92,Apr
41,Why You Probably Won't Become a Data Scientist,2021-04-09,116567,3414,484,Apr
42,How to Go From Data Analyst to Data Scientist,2021-04-02,44010,1246,171,Apr
43,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3670,136,89,Mar
44,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,11886,293,102,Mar
45,My Regrets as a Data Science Student,2021-03-12,21102,763,115,Mar
46,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3680,192,83,Mar
47,What is the Future of my Comment Leaderboard Project?,2021-02-26,5278,196,83,Feb
48,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,5721,161,51,Feb
49,Why I Quit Data Science,2021-02-12,100703,2275,357,Feb
50,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,8471,393,115,Jan
51,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6828,291,126,Jan
52,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,7491,259,47,Jan
53,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,16583,599,132,Jan
54,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,28209,988,149,Jan
55,What is the #66DaysOfData?,2020-12-26,58705,2013,204,Dec
56,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,126627,5886,506,Dec
57,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,9684,373,136,Dec
58,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,21679,689,325,Dec
59,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,20690,670,162,Nov
60,6 Lessons from #66DaysOfData,2020-11-13,6461,336,95,Nov
